전통주명,도수,규격,주원료,제조사,가격,주종,판매 url,정보,맛,안주,,,,
호담 산양산삼 막걸리,6,750ml,"쌀(경기미), 입국, 산양산삼, 정제수, 아스파탐",대농바이오우리산삼,"￦16,000(750ml*9병)(가격은 판매처 별로 상이할 수 있습니다.)",탁주,http://www.woorisansam.com,"호담 산양산삼 막걸리를 생산하고 있는 '대농바이오우리산삼'은 산삼을 활용한 우수한 제품을 출시하고 있다. 50여 조합원이 200만평 면적에서 직접 재배한 산양산삼과 국내산 쌀을 사용하여 빚은 술로 2011년부터 3년 연속 경기도 대표술로 선정됨과 동시에 2014년, 2015년 대한민국 우리술품평회 약주청주 부문에서 2년 연속 대상을 수상하였으며 2017년에는 호담 산양산삼 막걸리로 영예의 대통령상을 수상한 전통주의 명가이다.","단맛:1, 신맛:3, 청량감:3, 바디감:1",전/무침:김치전,,,,
생탁주,6,750ml,"쌀, 올리고당, 사과농축액, 아스파탐, 효모, 정제수",청산녹수,"￦12,000(750ml*12병 세트)(가격은 판매처 별로 상이할 수 있습니다.)",탁주,https://shopping.naver.com/fresh/traditionalalcohol/stores/100113497,"농업회사법인(주)청산녹수에서 생산하고 있는 제품으로 막걸리 본연의 맛을 간직한 제품이다. 전남 장성군의 자랑인 편백나무숲 맑은 공기와 청정한 물, 국내산 쌀과 전통누룩으로 빚어 저온에서 숙성한 제품이다. (주)청산녹수만의 전통 누룩을 사용하여 은은한 바나나 향과 부드러운 질감이 특징이다.","단맛:1, 신맛:3, 청량감:3, 바디감:3","육류:닭도리탕, 양념된 고기",,,,
백련 생막걸리 snow (스노우),6,750ml,"백미, 연잎, 정제수, 종국, 효모, 아스파탐, 물엿 등",신평양조장,￦1600 (가격은 판매처 별로 상이할 수 있습니다.),탁주,https://shopping.naver.com/fresh/traditionalalcohol/stores/100074045,"1933년 처음 술을 빚기 시작해 3대째 가업을 이어오고있는 전통의 신평양조장. 수년간의 연구 개발과 투자로 여러가지 술을 선보이고 있으며 당진 태생의 최상급 해나루 쌀과 백련잎을 주원료로 탄생한 술은 깊으면서도 깔끔한 뒷 맛이 특징. 2013년 찾아가는 양조장으로 선정되어 술의 전통과 역사에 대한 전시, 전통주 문화 체험이 가능한 &lt;백련양조문화원&gt;을 운영하고 있다. 체험 프로그램 문의는 신평양조장 홈페이지나 전화로 예약이 가능하다.","단맛:1, 신맛:1, 청량감:4, 바디감:2",육류:숯불바베큐,,,,
느린마을 막걸리,6,750ml,"쌀, 국, 효모, 정제수",배상면주가,"￦3,600 (가격은 판매처 별로 상이할 수 있습니다.)",탁주,https://shopping.naver.com/fresh/traditionalalcohol/stores/100296014,"느린 마을 막걸리는 계절마다 맛이 약간씩 다르다. 쌀과 물, 누룩만을 이용해서 빚는 술이기 때문에 계절에 따라 온도와 습도 등 계절마다 다른 숙성 환경이 그 이유. 일체 다른 인공감미료를 넣지 않아 만들어 원재료 그대로의 맛을 느낄 수 있는 막걸리다.","단맛:3, 신맛:2, 청량감:2, 바디감:4, 균형감:4","양식:봉골레 파스타, 꼬꼬뱅",,,,
부안참뽕막걸리,6,950ml,"쌀(국내산) 오디과즙,스테비올배당체,스쿠랄로스",내변산(동진주조),"￦2,000(가격은 판매처 별로 상이할 수 있습니다.)",살균탁주,https://shopping.naver.com/fresh/traditionalalcohol/stores/100068999,1977년 설립 후 40여년간 국내는 물론 해외시장에서도 인정 받고 있는 내변산 동진주조의 제품이다. 엄선된 원료로 전통적인 비법으로 제조하면서도 위생적인 작업환경과 최첨단 현대시설장비로 제조하고 있다. 부안 참뽕 막걸리는 탄산이 첨가되어 청량감을 주며 텁텁함 없이 깔끔한 맛을 자랑한다. 오디과실이 첨가되어 색깔이 은은한 보랏빛을 띄고 있다. 살균 처리가 되어 있어 상온에서도 보관이 가능하며 보존기간이 길다.,"단맛:2, 신맛:1, 청량감:3, 바디감:3",해산물:장어 구이,,,,
1932 새싹땅콩+햅쌀/흑미,6,"500ml, 900ml","새싹땅콩+고시히카리 쌀, 새싹땅콩+진도산 흑미",1932포천일동막걸리,"500ml-￦15,000(병제품), 900ml-￦20,000(PET제품)(가격은 판매처 별로 상이할 수 있습니다.)",생막걸리,https://shopping.naver.com/fresh/traditionalalcohol/stores/100159599,당해년도 햅쌀과 새싹땅콩농축액을 주원료로 생쌀 발효법으로 제조한 프리미엄 막걸리이다. 전통누룩에서 뽑아낸 우수한 균주를 사용하였다. 합성인공감미료를 전혀 사용하지 않은 제품으로 미생물 조절 발효 방식으로 냉장보관을 하여 개봉 후 뚜껑을 다시 닫아 냉장보관하여도 술맛에 변화가 없다. 1932 포천일동막걸리의 프리미엄 막걸리 제품이다.,"단맛:2, 신맛:2, 청량감:3, 바디감:1",디저트:케이크,,,,
소백산 검은콩 막걸리,6,"1500ml, 1200ml, 750ml",쌀,대강양조장,￦3000 / 2500 / 1800 (가격은 판매처 별로 상이할 수 있습니다.),탁주,http://krwine.modoo.at/,"막걸리 한 사발에는 식이섬유가 일반적인 식이섬유 음료보다 100배에서 많게는 1,000배 이상 많이 들어있다고 알려져 있는 영양분도 풍부한 술이다. 대강 양조장에서는 막걸리에 검은콩과 검은깨를 넣어 기존의 막걸리에 영양성분을 업그레이드하여 건강에 더욱 집중한 검은콩 막걸리를 선보였다.","단맛:3, 신맛:1, 청량감:1, 바디감:3",두부요리,,,,
소백산 생 막걸리,6,"1700ml, 750ml",쌀,대강양조장,"￦1,980 (가격은 판매처 별로 상이할 수 있습니다.)",탁주,http://krwine.modoo.at/,충북 단양에의 대강양조장에서 빚어지는 소백산 생 막걸리는 쌀의 담백함과 구수한 밀의 황금 비율을 찾아 전통방식 그대로 만들어 우리 막걸리 본연의 맛을 잘 살리고 있는 막걸리다. 노무현 대통령 시절 청와대 만찬주로 선정된 바가 있을 정도로 그 완성도 또한 뛰어나다.,"단맛:2, 신맛:3, 청량감:2, 바디감:2",탕/전골:버섯전골,,,,
안양동동주,6,1700ml,"국내산 햅쌀, 국내산 친환경 햇찹쌀",안양주조장,"￦1,100 (가격은 판매처 별로 상이할 수 있습니다)",탁주,https://ayjj.modoo.at/,"전라남도 장흥군 안양면에 위치한 안양주조에서 빚은 안양 동동주는 전통누룩과 직접 재배한 쌀과 찹쌀을 원료로 만들었다. 부드러운 맛과 함께 옛 동동주를 떠오르게 하는 투박함이 매력적인 술이다. 당화력이 좋은 밀누룩과 보리누룩을 발효제로 사용해 술에서 다양한 향과 맛을 느낄 수 있다. 찹쌀은 미감을 부드럽게 하고 쌀은 맛과 향의 조화를 보여주고, 보리누룩은 은은한 단맛을 자아내고 밀의 당화력은 청량한 목넘김을 선사한다.","단맛:3, 신맛:3, 청량감:3, 바디감:3",매운음식,,,,
줄포 생막걸리,6,750ml,국내산 쌀,내변산(동진주조),"￦1,200(가격은 판매처 별로 상이할 수 있습니다.)",탁주,https://shopping.naver.com/fresh/traditionalalcohol/stores/100068999,"1977년 설립 후 40여년간 국내는 물론 해외시장에서도 인정 받고 있는 내변산 동진주조의 제품이다. 엄선된 원료로 전통적인 비법으로 제조하면서도 위생적인 작업환경과 최첨단 현대시설장비로 제조하고 있다. 우리 몸에 좋은 효모균이 그대로 살아 있으며 자연 발효에 의한 탄산과 어우러져 전통탁주에서 느껴지는 감칠맛, 청량감이 뛰어난 제품이다.","단맛:2, 신맛:2, 청량감:3, 바디감:2",전/무침:전류,,,,
참동이 허브잎술,6,900ml,"국내산 쌀, 로즈마리 허브",운봉주조,,,,,,,,,,
천마이야기 막걸리,6,750ml,국내산 쌀,농업회사법인산들벗(주),"￦1,500(가격은 판매처 별로 상이할 수 있습니다.)",탁주,https://shopping.naver.com/fresh/traditionalalcohol/stores/100074042,전통적인 막걸리 제조법에 프랑스 샴페인 지방의 후발효방식을 접목하여 만든 막걸리이다. 자연발생 탄산의 함량이 높아 청량감이 오래 지속되며 원료 가공의 파별화로 목넘김이 부드럽고 깔끔한 맛을 자랑한다. 2014년 대한민국 우리술품평회 생막걸리 부문 장려상을 수상하며 그 품질을 인정 받았다.,"단맛:2, 신맛:2, 청량감:2, 바디감:1",육류:육회,,,,
자연담은 복분자막걸리,6,360ml,"국내산 복분자(고창), 정제수",(농)국순당고창명주㈜,"￦56,000(360ml*20병)(가격은 판매처 별로 상이할 수 있습니다.)",살균탁주,https://shopping.naver.com/fresh/traditionalalcohol/stores/100077970,명작 복분자'로 국내외에서 우수한 품질을 인정 받은 국순당고창명주에서 국내산 1등급 복분자와 국내산 쌀로 빚은 살균막걸리이다. 복분자의 깊은 맛과 우리 전통 막걸리의 맛이 조화롭게 어우러진 제품이다.,"단맛:2, 신맛:1, 청량감:1, 바디감:1",해산물:장어구이,,,,
미나리 생막걸리,6,750ml,"국내산 쌀, 국내산 무농약 미나리추출액",성포양조장,,탁주,http://www.xn--oj4b23fvzbgxa733b.kr/,미나리 생막걸리는 혈압을 내리고 중금속해독능력이 뛰어난 친환경 미나리를 사용하여 빚은 막걸리로 대구 팔공산 일대의 농가에서 생산하여 5년간 숙성한 미나리발효원액을 첨가해 쌀과 막걸리의 산성화를 중화하여 막걸리의 트림현상과 숙취가 거의 없는 것이 특징이다.,,"전/무침:생 미나리 두부무침, 미나리 전",,,,
백년친구 쌀막걸리,6,750ml,국내산 쌀,만수주조영농조합법인,,탁주,,술맛이 부드럽고 뒷 향이 은은하게 느껴지는 것이 마시는 이로 하여금 부담을 주지 않으며 또한 뒷맛이 깔끔하고 목 넘김이 좋은 막걸리이다.,,전/무침:가지나물,,,,
불로생우리쌀막걸리,6,750ml,국내산 쌀,불로생우리쌀막걸리,,탁주,http://www.daegutakju.co.kr/main/main.htm,불로생 우리쌀 막걸리는 50년 전통의 생 막걸리로 효모가 살아있어 특유의 감칠맛을 느낄 수 있을 뿐만아니라 효모에 함유된 판토텐산이 대장의 운동을 활발하게 하여 변비에도 좋으며 몸에 좋은 각종영양소가 풍부하다.,,"전/무침:두부김치, 해물전 두부김치",,,,
울금생막걸리 정,6,750ml,"국내산 쌀, 국내산 울금",영덕주조,,탁주,http://www.ydjujo.co.kr,쌀을 주재료로 한 막걸리에 울금을 첨가하여 특허를 받은 막걸리이다. 입안에서 감도는 울금 특유의 향과 마시고난 후 오랫동안 여운을 주는 감미로운 맛이 일품이다.,,전/무침:김치전 ,,,,
세종 쌀막걸리,6,"300ml, 750ml",국내산 쌀,조은술 세종,￦1500 (가격은 판매처 별로 상이할 수 있습니다.),살균탁주,https://shopping.naver.com/fresh/traditionalalcohol/stores/100068990,조은술 세종에서 전통발효하여 정성껏 빚어낸 세종 쌀막걸리는 쌀과 함께 밀을 사용하여 초정광천수 인근의 지하 암반수로 빚어낸 막걸리. 쌀과 밀의 조합이 적절해 달콤한 향기가 올라오고 6%의 도수를 가진 목넘김이 은근히 묵직한 막걸리로 전통 막걸리에 대한 향수를 가지고 있는 사람이라면 누구나 좋아할 만한 막걸리다.,"단맛:3, 신맛:1, 청량감:3, 바디감:3",육류:육회,,,,
구암대추막걸리,6,1000ml,"쌀, 대추",구암농산,,탁주,,"청송의 맑은 물과 수목이 가득한 자연 속에서 직접 재배한 양질의 대추로 만든 대추엑기스, 국내산 100% 쌀로 정성껏 빚어 목 넘김이 부드러운 막걸리이다. 구암농산은 1981년 대추농장으로 2만주 대추나무를 식재하여 현재 약7만평규모, 20만평 야산을 보유하고 있는 경북최대 대추농장으로 성장하여 2008년 구암농산을 설립하였고, 2년여 연구개발 끝에 2010년부터 맛과 기술에서 인정받는 대추 막걸리를 생산해 오고 있다.",,가벼운 안주,,,,
솔청정막걸리,6,,국내산 쌀,조선양조,,,,,,,,,,
백년친구 풍기홍삼막걸리,6,"750ml, 900ml","국내산 쌀, 홍삼",만수주조영농조합법인,,,,,,,,,,
새송이 쌀막걸리 정,6,750ml,"국내산 쌀, 새송이버섯",영덕주조,,탁주,http://www.ydjujo.co.kr,쌀을 주재료로 한 막걸리에 새송이버섯을 첨가하여 특허를 받은 막걸리이다. 과하지 않은 단맛과 탄산의 상쾌한 맛이 적당하며 한 여름에 시원하게 마시면 자연탄산이주는 입안의 상쾌함이 좋다.,,전/무침:감자전 ,,,,
톡쏘는 쌀 막걸리,6,950ml,국내산 쌀,우리술,,탁주,http://www.woorisool.kr,국내산 쌀 100%로 빚은 막걸리로 사과 막걸리 등으로 유명한 경기 가평의 우리술의 일본수출 주력 막걸리이다. 살균막걸리지만 톡쏘는 탄산에 생막걸리에 견주에 떨어지지 않는 감칠맛이 느껴진다.,,"전/무침:새우전, 녹두전 ",,,,
산천어막걸리,6,750ml,국내산 쌀,화천주가,"￦1,600 (가격은 판매처 별로 상이할 수 있습니다.)",탁주,https://smartstore.naver.com/hcjuga,첫 담금을 입국미의 함량을 높여 저온 장기 발효하여 입국미와 토종효모의 향긋한 향과 두번째 담금의 팽화미로 장기간 발효하고 거른 후 1도에서 3도의 냉장 탱크에서 숙성합니다. 요쿠르트맛과 은은한 사과향과 달달함이 즐거움을 더 합니다. 숙성해 상압방식의 특유한 향과 맛이 일품입니다.,"단맛:3, 신맛:2, 청량감:2, 바디감:2, 균형감:4","해산물:산천어회, 산천어 구이, 쏘가리 매운탕",,,,
지장수 호박막걸리,6,550ml,"국내산 쌀, 호박",낙천,"￦5,000 (가격은 판매처 별로 상이할 수 있습니다.)",살균탁주,http://nakchun.modoo.at/,약천골 지장수는 천연적으로 생성된 지장수로 인위적으로 만들어 낸 것이 아닌 자연적으로 만들어진 지장수다. 이런 지장수로 빚어낸 막걸리에 호박을 첨가하여 목 넘김이 좋고 달달 한 맛이 특징. 2014년 우리술 품평회 최우수품질상을 수상하기도 했다.,"단맛:2, 신맛:1, 청량감:1, 바디감:2",육류:수육,,,,
미담,6,750ml,국내산 쌀,성광주조,,탁주,https://www.facebook.com/skbw.co.kr,"우리 쌀로 만든 미담 생막걸리는 15일간 장기발효방법으로 제조하여 효모가 살아있고, 자연발효에 의해 생성된 탄산가스가 청량감과 감칠맛을 돋운다. 쌀 이외에 올리고당을 사용하여 음용시 정장작용에 도움이 되고 장기 숙성과 햅쌀을 사용하여 보존성이 높고, 숙취가 없다.",,두부김치 ,,,,
고향생막걸리,6,750ml,국내산 쌀,찬우물,,탁주,,100% 국내산 쌀과 303m 천연지하암반수를 사용하여 자연발효 후 온도와 습도가 일정한 지하저온저장고에서 장기저온숙성시켜 맛이 부드럽고 숙취가 없으며 각종 영양분과 효모가 살아있는 막걸리이다.,,김치잡채 ,,,,
솔바람생막걸리,6,500ml,국내산 쌀,조선양조,,,,,,,,,,
왕매실 막걸리,6,750ml,"국내산쌀, 매실원액1%",순성왕매실영농조합,,탁주,,"2002년도에 1,400여 농민들이 매실 10만본을 식재한 후 수확량이 현재 연간 100여 톤에 이르며 농식품부지원하에 가공, 생산하게 되었다. 왕매실막걸리는 우리 쌀과 100m 지하 암반수와 토종 매실로 빚어 매실특유의 신맛과 탄산이 있으며 상큼하고 부드럽다. 구연산이 들어있어 트림이 없고 소화가 잘된다.",,전/무침:꼬막전,,,,
이천쌀생막걸리,6,1000ml,국내산 쌀,오성주조장,,탁주,,내륙 중앙에 위치한 이천은 분지형 지형으로 일교차가 크고 일조량이 많아 임금님진상미로 유명한 국내제일의 쌀 생산지역이다. 이천쌀생막걸리는 100% 이천쌀을 원료로 사용하고 술덧은 물론 밑술까지 저온장기숙성하여 풍부한 영양과 탄산의 맛이 어우러져 깊은 맛과 향이 있는 막걸리이다.,,전/무침:두부김치,,,,
고향인삼막걸리,6,750ml,"국내산쌀90%, 국내산인삼10%",찬우물,,탁주,,국내산 쌀과 303m 천연지하암반수를 사용하여 자연발효 후 온도와 습도가 일정한 지하저온저장고에서 장기 저온 숙성시켜 맛이 부드럽고 숙취가 없으며 인천강화의 고려인삼농축액을 첨가해 발효시켜 인삼특유의 맛과 향이 적당히 녹아있다.,,해산물:고등어조림,,,,
황도배기 햅쌀막걸리,6,900ml,고창 황토배기 햅쌀,우리술,,탁주,http://www.woorisool.kr,"국내 최초로 원적외선이 방출되는 황토 토굴에서 발효, 숙성시키며 100% 국내산 햅쌀을 증자후 저온에서 장기간 발효시키는 방법으로 빚어 막걸리고유의 맛과 향이 뛰어나다.",,전/무침:꼬막무침,,,,
요새로제,6.4,750ml,"사과즙(국산), 오미자, 라즈베리차, 정제수, 효모, 사관산(산도조절제), 탄산가스, 메타중아황산칼륨(산화방지제)",댄싱사이더컴퍼니,,과실주,https://www.dancingcider.com/,인공색소나 착향료로 색과 향을 내지 않았다. 주 재료인 베리류의 산뜻함을 고스란히 담아 상큼하고 청량한 맛이 일품인 애플사이더다. 냉장보관 후 내용물이 잘 섞이게 흔들어 마시면 더 맛있게 즐길 수 있다.,,"육류:치킨, 파스타, 피자",,,,
복순도가 손막걸리,6.5,935ml,"정제수, 쌀(국산), 곡자(밀), 물엿, 설탕, 아스파탐(감미료,페닐알라닌함유)",복순도가,"￦12,000 (가격은 판매처 별로 상이할 수 있습니다.)",탁주,https://shopping.naver.com/fresh/traditionalalcohol/stores/100074420,"길게 뻗은 막걸리 병을 잡고 뚜껑을 살짝 열어보는 순간 끓어 오르는 탄산이 경쾌한 소리를 내며 청량하게 올라온다. 자연스럽게 막걸리가 섞이는 신기한 광경을 지켜보다 끓어오르는 탄산이 넘쳐 흐를 것 같아 뚜껑을 다시 닫았다. 은은하게 새어 나온 향기가 복순도가 막걸리의 매력을 재촉했지만, 쉼 없이 올라오는 탄산 덕분에 그마저 쉽지 않았다. 복순도가 막걸리는 쌀의 함량이 많고 누룩에 발효되는 과정 때문에 자연에서 생성되는 천연탄산이 활발하게 올라와 막걸리 병을 따로 흔들지 않아도 자연스럽게 고루 섞인다. 샴페인을 연상시키는 듯한 청량감이 주는 부드러움과 깊은 맛이 특징인 막걸리다.","단맛:2, 신맛:3, 청량감:5, 바디감:2",해산물: 생선조림,,,,
담은,6.5,750ml,"정제수, 쌀(국내산), 입국, 효모, 기타과당, 정제효소제",포천일동막걸리,"￦33,000(가격은 판매처 별로 상이할 수 있습니다.)",생막걸리,https://shopping.naver.com/fresh/traditionalalcohol/stores/100159599,하얀 구름은 어떤 맛일까?'라는 재미 있는 질문에서 시작된 '담은'은 경기도 포천시 최고급 쌀을 주원료로 사용하였으며 전통누룩에서 뽑아낸 우수한 균주를 사용하였다. 합성인공감미료를 전혀 사용하지 않은 제품으로 미생물 조절 발효 방식으로 냉장보관을 하여 개봉 후 뚜껑을 다시 닫아 냉장보관하여도 술맛에 변화가 없다. 1932 포천일동막걸리의 프리미엄 막걸리 제품이다.,"단맛:4, 신맛:2, 청량감:1, 바디감:2",디저트:백설기,,,,
별산막걸리,6.5,800ml,"정제수, 쌀(국내산), 입국, 효모, 엿류",양주도가,"￦9,000 (가격은 판매처 별로 상이할 수 있습니다.)",탁주,https://smartstore.naver.com/yangjudoga,별산막걸리는 경기도 양주의 단단한 쌀을 사용하고 어느 누구도 시도하지 않은 특별한 발효균주를 이용하여 만든 프리미엄 막걸리입니다. 맛과 품질에서 우수함을 인정 받은 결과 대한민국주류대상 3회 수상 경력의 귀한 막걸리입니다.,"단맛:4, 신맛:3, 청량감:4, 바디감:3",육류: 갈비찜,,,,
오미자 생막걸리,6.5,750ml,"정제수, 백미(국내산), 입국(쌀, 밀), 올리고당, 물엿, 허브(유기농), 오미자 2.4%(국내산, 문경로동산), 정제효소, 아스파탐·아세셀펌칼륨(함성감미료, 메닐알라닌 함유)",문경주조,"￦2,500 (가격은 판매처 별로 상이할 수 있습니다.)",생탁주,https://shopping.naver.com/fresh/traditionalalcohol/stores/100113504,"다섯 가지 맛이 난다고 하여 붙여진 이름처럼 문경주조의 오미자 막걸리는 마실 때마다 색다른 맛을 느낄 수 있다. 과하지 않은 달콤함과 새콤함의 조합은 입맛을 돋구기에 충분하고, 분홍빛 매력적인 색감으로 젊은 여성층이 즐기기에 좋은 막걸리다.
다섯 가지 맛이 난다고 하여 붙여진 이름처럼 문경주조의 오미자 막걸리는 마실 때마다 색다른 맛을 느낄 수 있다. 과하지 않은 달콤함과 새콤함의 조합은 입맛을 돋구기에 충분하고, 분홍빛 매력적인 색감으로 젊은 여성층이 즐기기에 좋은 막걸리다. 문경주조의 오미자주는 과실이 들어간 제 1호 막걸리 라는 타이틀을 가지고 있다. 또한, <오미자가 첨가된 건강 증진 기능성 오미자 생막걸리 및 그 제조방법>에 관한 특허<제10-10066459호>까지 받은 명실 상부한 대한민국 최초의 오미자 막걸리다.","단맛:2, 신맛:3, 청량감:2, 바디감:2",육류:소고기,,,,
호랑이배꼽,6.5,"350ml, 750ml","평택 쌀(현미 40%, 백미 60%), 누룩, 정제수, 정백당",밝은세상영농조합,,탁주,https://www.instagram.com/tigercalyx/?hl=ko,인공 첨가물과 감미료 없이 평택의 최상급 쌀과 새싹현미로만 빚은 생막걸리다. 전통 가양주 방식 그대로 100일간의 발효와 숙성을 거쳐 제조한다. 저온 숙성으로 막걸리 특유의 달고 구수한 곡향이 풍성하게 느껴지고 유산균이 다량 살아 있는 건강한 술이다.,,디저트:호두바게트,,,,
고도리 복숭아와인,6.5,750ml,복숭아(영천),고도리 와이너리,"￦38,000(가격은 판매처 별로 상이할 수 있습니다.)",과실주,https://shopping.naver.com/fresh/traditionalalcohol/stores/100113499,고도리 복숭아와인은 농산물우수관리(GAP)인증 복숭아로 만들어진다. 복숭아의 당도가 가장 높은 8월 말에 수확하여 별도의 당을 첨가하지 않고 순수 발효한 와인이다. 복숭아를 발효하여 저도주로 빚은 디저트용 와인으로 끝에서 느껴지는 복숭아의 부드럽고 향긋한 맛과 향이 특징이다.,"단맛:3, 신맛:4, 청량감:3, 바디감:3","디저트:과일을 이용한 디저트, 향이 강한 치즈류",,,,
토끼구름,6.8,750ml,"정제수, 쌀, 올리고당, 전분, 조효소제, 혼합제제",운곡도가,,탁주,https://www.instagram.com/ungokdoga/,울산 햅쌀로 빚은 삼양주 막걸리로 합성 감미료를 첨가하지 않아 순하고 자연스러운 단맛을 느낄 수 있으며 목 넘김이 부드럽다. 새콤한 산미가 요구르트를 연상시키며 우유처럼 크리미한 질감이 특징이다.,,"전/무침;모듬전, 골뱅이 소면",,,,
편백숲 산소막걸리 스파클링,6.8,940ml,"찹쌀, 맵쌀, 누룩",청산녹수,,탁주,http://www.bluegreenkorea.co.kr,"편백숲 산소막걸리 스파클링은 멥쌀, 찹쌀, 누룩, 물로만 빚어 막걸리 본연의 맛을 찾은 무첨가 프리미엄 막걸리다. 샴페인과 같은 강렬한 탄산감이 찹쌀에서 나오는 순수한 단맛과 어울러져 청량감을 느낄 수 있다.",,해산물:홍어삼합,,,,
편백숲 산소막걸리 딸기 스파클링,6.8,940ml,"찹쌀, 멥쌀, 누룩, 딸기, 올리고당",청산녹수,"￦41,000 (가격은 판매처 별로 상이할 수 있습니다)",탁주,https://smartstore.naver.com/bluegreenk/products/4645823087,"편백숲 산소막걸리 딸기 스파클링은 국내산 찹쌀과 멥쌀을 4번 발효시켜 쌀의 진한 단맛을 우려내고, 전남 장성군에서 재배한 설향 딸기를 더하여 한번 더 발효시킨 스파클링 막걸리로 싱그러운 딸기향과 새콤 달콤하고 톡 쏘는 맛의 탄산 가득한 막걸리다. 제조사 청산녹수에서 개발한 O2 발효기술과 한국식품연구원이 찾은 토종효모를 사용하여 부드럽고 새콤달콤한 청량한 산소 같은 느낌의 막걸리를 개발하였다. 세계 최초로 개발된 딸기 스파클링은 상큼한 딸기향과 청량한 스파클링이 결합하여 시원하고 경쾌한 맛을 자랑한다.","단맛:3, 신맛:2, 청량감:5, 바디감:3",육류:수육,,,,
오곡 진상주,7,750ml,"쌀, 밀, 보리, 옥수수, 조 등",대강양조장,-,탁주,,"대강양조장에서 생산하고 있는 오곡 진상주는 이름처럼 쌀, 밀, 옥수수, 보리, 조 의 다섯 가지의 곡류로 만들어 마시는 이의 건강을 생각하였으며, 담백하고 고소한 맛이 일품인 막걸리다. 청와대에 납품될 정도로 그 완성도 또한 뛰어나 어떤 안주에 곁들여도 손색이 없는 막걸리라는 평가를 받는다.","단맛:1, 신맛:4, 청량감:3, 바디감:3",디저트:백설기,,,,
심술 7,7,330ml,"정제수, 옥수수전분, 기타과당, 백설탕, 주정, 젖산, 과채가공품, 이산화탄소,국,활성건조효모,아세설팜칼륨",배상면주가,,"약주, 청주",https://www.soolsool.co.kr/,블루베리와 포도를 쌀과 함께 빚은 스파클링 라이스 와인이다. 과일의 단맛이 은은하게 느껴지며 적당량의 탄산이 주는 경쾌하고 깔끔한 맛이 특징이다.,,"디저트:빵, 치즈, 과일",,,,
볼빨간막걸리 7,7,500ml,"정제수, 찹쌀, 누룩",벗드림양조장,"￦5,000 (가격은 판매처 별로 상이할 수 있습니다)",탁주,https://blog.naver.com/butdream9,"볼빨간 막걸리는 부산에서 재배한 찹쌀로 만든 수제 막걸리다. 볼빨간 막걸리를 빚고 있는 벗드림의 김성욱 대표가 술을 마시면 볼이 빨개져서 볼빨간 막걸리라 이름 지었단다. 쌀과 누룩, 그리고 물만으로 빚은 술로 찹쌀의 깊은 풍미와 단맛 그리고 산미가 잘 조화 되었다. 전통누룩을 사용하는데 발효과정에서 만들어지는 시트러스향, 플로랄향이 싱그러운 술이다.","단맛:1, 신맛:4, 청량감:3, 바디감:2",전/무침:오징어 무침,,,,
맑은내일 발효 막걸리,7,750ml,"정제수, 쌀, 누룩, 정제효소, 아스파탐",우포의 아침 주식회사,"750ml ￦2,200, 1,000ml ￦6,500 (가격은 판매처 별로 상이할 수 있습니다)",탁주,http://www.woopo.net,맑은내일 발효막걸리는 국내산 쌀 100%를 발효시켜서 정성껏 빚은 프리미엄 막걸리다. 1945년 창원 사화정미소로부터 이어온 노하우로 만든 창원을 대표하는 전통주 명가에서 선보이는 모던한 디자인의 술이다. 전통누룩의 함량이 높아 더욱 부드럽고 깊은 향이 나고 유산균이 빚어내는 오묘한 산미와 단맛을 지녔다.,"단맛:3, 신맛:3, 청량감:3, 바디감:4",육류:함박 스테이크,,,,
매실 막걸리,7,750ml,"쌀, 매실과즙",백운주가,"￦3,500(가격은 판매처 별로 상이할 수 있습니다.)",살균탁주,https://shopping.naver.com/fresh/traditionalalcohol/stores/100192629,매실 막걸리는 백운 복분자주로 유명한 백운주가에서 제조한 제품이다. 저온장기 발효방식의 매실 막걸리는 젊은 소비자의 입맛에 맞게 개발된 제품으로 부드러운 목넘김을 강조한 막걸리이다. 특히 새콤달콤한 맛의 광양에서 재배한 매실을 사용하였다. 매실은 혈압을 낮추고 스트레스 해소에 좋은 식품으로 알려져 있어 '매실 막걸리'는 웰빙 막걸리라고 말할 수 있다. 냉장 저장고에서 휴면발효공법으로 숙취와 잡냄새를 제거하였다.,"단맛:3, 신맛:2, 청량감:1, 바디감:1",전/무침:더덕구이,,,,
도깨비술 7,7,750ml,"국내산 멥쌀, 누룩, 효모, 정제수",도깨비양조장,"￦8,000 (가격은 판매처 별로 상이할 수 있습니다)",탁주,https://smartstore.naver.com/dokkaebisul/products/4676617056,"도깨비술 7%는 시원한 멜론향과 바닐라향이 이채로운 술이다. 도깨비양조장에서 만든 도깨비술은 7%, 9%, 11% 세 종류가 있다. 도수에 관계없이 도깨비술이 보여주는 분명한 특징이 있는데 바로 깔끔함이다. 마시고 나서 입안에 텁텁하게 남는 느낌이 전혀 없다. 도깨비술은 우리밀로 만든 누룩을 넣고 100% 멥쌀로만 만든다. 찹쌀을 섞으면 단맛을 내기 쉽지만 술이 끈적해지기 때문에 쓰지 않는다. 대신 쌀 투입량을 늘려 단맛을 낸다. 단양은 산지라 논농사가 드물어 쌀은 인접한 제천 의림지 쌀을 가져다 쓴다. 먼저 밑술을 만들고 이틀 후 덧술을 하는 이양주 방식이다. 발효에 보름, 숙성에 사나흘이 걸린다.","단맛:3, 신맛:3, 청량감:4, 바디감:3",탕/전골:메기 매운탕,,,,
